datetime,tension_raw,tension_log,tension_mean,tension_std,pizza_z
2017-01-01,8515.300000000001,9.049737253199368,,,
2017-01-02,5288.61,8.573499798127035,,,
2017-01-03,7806.8794,8.96288868227692,,,
2017-01-04,6694.7104,8.809222361532703,,,
2017-01-05,7638.5496,8.941093927543196,,,
2017-01-06,4757.8285,8.467756803489204,,,
2017-01-07,2596.836,7.862434069756908,,,
2017-01-08,5944.891,8.690455671738485,,,
2017-01-09,8167.378,9.008025636932368,,,
2017-01-10,5865.4108,8.676998277770668,,,
2017-01-11,5508.9775,8.614315818654049,,,
2017-01-12,7944.2172,8.980325416545536,,,
2017-01-13,8423.82,9.038937390007165,,,
2017-01-14,5348.8428,8.584822456280788,8.7328938259896,0.31953797836411757,-0.46339208399222503
2017-01-15,3726.9618,8.223616928971868,8.698942032855085,0.3348166714787607,-1.419657813883288
2017-01-16,11968.8144,9.390143293001566,8.742142111614239,0.3667269722062049,1.7669853337729577
2017-01-17,7386.0274,8.907480686740756,8.751867910151093,0.35733902642534154,0.43547657849282057
2017-01-18,5953.834699999999,8.691958723217736,8.74853962198813,0.34695724372515546,-0.1630774390610921
2017-01-19,6341.6997,8.755059776984858,8.748882788040587,0.3371851508751368,0.01831927926908572
2017-01-20,4295.8624,8.3656403609211,8.729720666684614,0.3391956342444666,-1.073363773016937
2017-01-21,4094.8158,8.317721195005007,8.71010164422368,0.3426135158816064,-1.145256771931511
2017-01-22,4926.9555,8.502679475140118,8.700673363810791,0.3372683506355193,-0.5870514926692374
2017-01-23,7209.814600000001,8.8833372058665,8.708615269987126,0.33170798543623303,0.526734186545419
2017-01-24,5868.5483,8.677532959265042,8.70732017370704,0.32447884520729975,-0.09180017397734243
2017-01-25,5764.2113,8.659597084243105,8.705411250128481,0.3177903119091599,-0.14416476578578805
2017-01-26,12105.479000000001,9.401496042825656,8.732183742155296,0.3399808518314819,1.96867646240888
2017-01-27,10086.685800000001,9.219070731243772,8.750216593603017,0.34629653087508466,1.3539094268601792
2017-01-28,4364.7408000000005,8.38154316750513,8.737049685528094,0.3468919821040858,-1.0248334823613556
2017-01-29,4252.6704,8.355537512739645,8.712256837654532,0.3485199452366388,-1.0235262853398013
2017-01-30,4543.1837,8.421603386520461,8.706831965811439,0.3519252869057927,-0.8104804908984306
2017-01-31,7349.2016,8.902483020402155,8.704674620744484,0.3504796703291751,0.5643933625932895
2017-02-01,5621.8786,8.634599018160506,8.698438072766905,0.3501038626102111,-0.18234318847682784
2017-02-02,9164.8284,9.12323754353227,8.704943201909371,0.35641482039657696,1.1736165773282634
2017-02-03,11784.911600000001,9.374660164945498,8.737332607675668,0.3747957723076968,1.7004662388416734
2017-02-04,4989.020399999999,8.51519527691356,8.760645507931262,0.3367282837192093,-0.7289266832790818
2017-02-05,4057.959,8.308681815777781,8.747010727361237,0.34724094866970134,-1.2623191857490241
2017-02-06,4214.6391,8.346556484090305,8.72338682904545,0.3513027501775001,-1.0726655136196546
2017-02-07,5705.133000000001,8.649296840299556,8.72239749199291,0.351477190888732,-0.20798121069681394
2017-02-08,5607.0696,8.631961839479066,8.723027707022377,0.35129198906282155,-0.25923126737463165
2017-02-09,6706.728,8.811015573522294,8.7169809269144,0.348142139798118,0.27010417831757555
2017-02-10,4794.7955,8.475494875538557,8.696857979969094,0.34511410145606075,-0.6414200506342417
2017-02-11,2405.672,7.786000159282788,8.668328612219167,0.38538682719337014,-2.289461887844093
2017-02-12,5302.884999999999,8.576194849881023,8.680920680823064,0.37596304197207914,-0.2785535258803926
2017-02-13,6352.2418,8.756720481300938,8.658298437548043,0.3498582301375928,0.28131978977366967
2017-02-14,8525.26,9.050906091816797,8.663420773443615,0.3546586985342467,1.0925583384098654
2017-02-15,8990.2945,9.10401211042554,8.678136965843894,0.3643044031800991,1.1690090508489086
2017-02-16,8255.765,9.018788143312403,8.687555836069878,0.3697356379572423,0.8958625386304518
2017-02-17,6427.1016,8.768434532581901,8.701941342200621,0.3645462591042248,0.18239987030636187
2017-02-18,6256.628000000001,8.741556478550175,8.717078316612946,0.3567168178344766,0.06862071176186212
2017-02-19,9422.518,9.15096375857318,8.740231326735557,0.3632643135435023,1.1306710197626832
2017-02-20,6854.544,8.832812946980475,8.7384268889182,0.3626521063369119,0.26026612396010274
2017-02-21,5301.9716,8.576022621663615,8.734801519718149,0.3637890067734439,-0.43645875795641104
2017-02-22,6444.2986,8.771106244788815,8.738783989737637,0.3635455121127254,0.08890841441925162
2017-02-23,4691.8581,8.453797078814805,8.704937598165822,0.34310230884551374,-0.7319697736691596
2017-02-24,53474.35170000001,10.886976110834075,8.764505647436904,0.5297107376063067,4.0068481016419195
2017-02-25,30005.360299999997,10.309164648173349,8.833349271746483,0.5988455031064068,2.46443426354766
2017-02-26,22558.862699999998,10.023927619600567,8.892934632705801,0.6316466249106123,1.7905470278651752
2017-02-27,12022.137,9.394588155736571,8.927684088749235,0.631520323376552,0.7393333986322697
2017-02-28,34757.0199,10.45616561285458,8.983172752765393,0.6943553555194616,2.1213818664755753
2017-03-01,33786.35,10.427841751063195,9.047217136083345,0.7420744310816523,1.8604934453373394
2017-03-02,27084.981600000003,10.206771588897357,9.085914780560671,0.7737610805904309,1.4485825617920696
2017-03-03,23668.6832,10.071950318388044,9.110818000326475,0.7943456445287385,1.2099673796685575
2017-03-04,22331.2276,10.013786098031549,9.164339101080689,0.8031644314605141,1.057625267849802
2017-03-05,11234.5499,9.326838128681997,9.200701826541556,0.7858519183051736,0.1605089956546473
2017-03-06,20853.417,9.945321051313423,9.257800561085237,0.7795490981342718,0.8819463608817693
2017-03-07,17446.964,9.766978244605609,9.297717754096167,0.7758432433714262,0.6048393080930501
2017-03-08,12533.544899999999,9.43624370359106,9.326442106385882,0.7650959745879464,0.14351349484528908
2017-03-09,9062.404,9.112000045912195,9.33719155182838,0.7596813520418542,-0.2964288978674014
2017-03-10,7911.682,8.976222067767678,9.35507466583656,0.7443851222047045,-0.5089470312716674
2017-03-11,7053.921,8.861480666492115,9.393484683951181,0.6858700794157652,-0.7756629621636728
2017-03-12,3428.38,8.140134765803793,9.377911109519852,0.7096533323701613,-1.744198592828454
2017-03-13,5887.0244,8.680675804421865,9.37519522820274,0.7122594396670694,-0.9750933228845845
2017-03-14,11180.1864,9.321987859146946,9.384876719893102,0.7095253462423016,-0.08863511512198996
2017-03-15,9732.7945,9.183359078602846,9.38771054018515,0.7085197776527629,-0.2884202643704522
2017-03-16,9675.048,9.177408832445186,9.393375564797035,0.7060907484702991,-0.30586257194238364
2017-03-17,12119.7932,9.402677703026393,9.416027106598623,0.6953922572076161,-0.019196940192913445
2017-03-18,7946.4812,8.980610327258411,9.42456474405249,0.6882354451761751,-0.6450618315370756
2017-03-19,6446.556,8.771456423254811,9.411010910648262,0.6974978018326236,-0.9169268859530003
2017-03-20,7174.903200000001,8.878483914238508,9.412642016621762,0.6961476955541444,-0.7673057108349047
