Date,pizza_z,BA_ret,GD_ret,ITA_ret,LHX_ret,LMT_ret,NOC_ret,PPA_ret,RTX_ret,SPY_ret,XAR_ret,VIX_pct
2017-01-18,0.43547657849282057,0.4114079230785803,0.44422107821944073,0.46795844918761886,0.6665545831222659,-0.01968186612219193,0.7673734166417354,0.4774505018439805,0.4083610016659441,0.22077208628720624,0.3771721123755115,5.139003054409175
2017-01-19,-0.1630774390610921,0.4285936753784271,1.028825008715986,0.8311472514081766,-0.8564037274763338,1.158306028843598,0.9294534224481484,0.3328457085454885,0.2803328801868745,-0.3711218577550834,0.9679040877985813,2.403847770342993
2017-01-20,0.01831927926908572,0.33275356198566675,0.26395995023455565,-0.4006344462670966,0.19981788498126662,0.2719764281852781,-0.12055499723080079,-0.38051072300643507,0.05419246797677238,0.3667336374368695,-0.5452606573667151,-9.702658818678078
2017-01-23,-1.073363773016937,-1.064976569215855,-0.5906710102001974,-0.5225329935111408,0.5176673911224395,-0.09703819506437816,-0.18112453137421552,-0.5255654247215641,-0.4070080455325241,-0.2605905800307263,-0.5168079796977845,1.993071894895504
2017-01-24,0.526734186545419,1.702345354528999,0.01125350137219301,0.8950914441000629,1.3413739412866184,-1.7908280586883325,0.38769265233554284,0.7873062116807729,1.1444364504105984,0.6391623887688874,1.0775533882443096,-5.947329955095471
2017-01-25,-0.09180017397734243,4.154164546528561,-1.0948314759532132,0.2032729404360477,-0.935108159179768,-0.7581021444567244,-0.7552368025819157,-0.09509037608042943,-0.5840750838445844,0.8618016933653891,0.10869337351086442,-2.348683670958751
2017-01-26,-0.14416476578578805,1.0461457818291542,1.1230703946851959,0.13993455250290518,0.10873560882794814,1.5693299990156586,-1.6950867347818133,0.11886342540766626,-0.5422323639640134,-0.10458407758489106,0.18601013238322767,-1.6651276428180206
2017-01-27,1.96867646240888,-0.8431854592614345,4.326871553114204,0.24445906979339388,1.276013559796215,-0.5782546678892144,1.2566178997544497,0.33207566263367605,-0.5998007413744836,-0.15709692431780933,-0.046489072508040116,-0.4703686754145675
2017-01-30,1.3539094268601792,-1.2782455599446414,-1.4526189555999531,-0.7702352214615088,-0.14640408275393768,-0.26463829551326423,-0.15240614294250637,-0.7367832260242111,-0.4843264164782089,-0.6221137913716048,-0.6216760307773064,12.28733648496556
2017-01-31,-0.8104804908984306,-1.3070721341638543,-0.7647227843647053,0.09132011367621849,0.3218224168234006,-0.5950539057967316,-0.17446555166018402,-0.09548277240039772,0.4569817479225196,-0.008776845599561515,0.3734615973912494,0.9259230270842744
2017-02-01,0.5643933625932895,0.33601422361148875,-0.027587411849039702,0.0,-0.8604965058208702,-0.1712168905767541,-0.11354362599626594,-0.19120034793285445,-1.367983812041069,0.03951303344689676,0.06212405997190229,-1.5012456625316362
2017-02-02,-0.18234318847682784,-1.0483520918506577,-0.370782668149338,0.028078110005620202,3.0465362892333703,0.4255492573148314,0.4491227302751895,0.14341986565819967,0.1662470414964207,0.06589021395400323,0.24807310802176494,1.0160870558459933
2017-02-03,1.1736165773282634,0.08621795812072557,1.51868384598646,1.401367308640298,-0.6498661395750499,0.9833511477809382,0.6547591169649212,1.0220263583935467,1.1834594619503707,0.6869460947931091,1.7041623860767772,-8.046940600080966
2017-02-06,1.7004662388416734,0.9682064022585569,-0.04369042762622578,0.36625065363667125,0.792620968905934,0.33348620665641837,0.6290920899755854,0.18898703752159768,0.9349863918228778,-0.17891972751048574,0.30400820308389354,3.646304546887791
2017-02-07,-1.0726655136196546,1.525120069847946,0.09281042494796994,0.3718073847685364,0.19958217988583152,0.41433858652404915,0.06869087852633446,0.49441033742444496,0.5136583957142149,0.004323083483198511,0.45427099255083214,-0.7036053167217893
2017-02-08,-0.20798121069681394,-0.7723124971258459,-0.03821823474705198,-0.4408099982130299,-0.40902227647011924,0.14421283027219636,-0.24063621058214643,-0.3764914273009705,-0.7669807227510287,0.13097027130137115,-0.7887017062657184,1.4171820013527237
2017-02-09,-0.25923126737463165,0.28650252259550624,-0.30081593145059127,0.6193390781563731,-0.40118706461797093,0.5670694766401785,1.0358175032623163,0.6110580317967187,-0.28118559155348916,0.5915178690887305,0.9245698736454444,-4.978163356500542
2017-02-10,0.27010417831757555,1.1800018517378397,0.9864787530145559,1.2679357138094156,1.1892086056524898,0.9060201164967835,0.5986266520302036,0.7934947267273014,0.8682554266671474,0.3938531163359207,1.3338759176473913,-0.27573283690845996
2017-02-13,-0.6414200506342417,1.0770255037598204,1.1859825719582737,0.6548848600553183,1.1938831564827634,0.688475687340254,1.1907609972567001,0.8102815285627806,0.8696376169845664,0.5427774817336347,0.5493092518055231,2.02764336976633
2017-02-14,0.28131978977366967,0.27931718108206904,0.33705200194511137,-0.08080320261591939,0.8653450188953421,0.07999807724587085,0.22562596464367973,-0.06921111495779925,-0.4024897171241585,0.39874197174627324,-0.11848751227061473,-2.9810292032830477
2017-02-15,1.0925583384098654,0.47365260190562614,0.40509254111079684,0.4099688305931739,-0.5760525868270078,0.34219138030295027,0.8187628000652212,0.5751757800961608,0.8975728248201793,0.5206738736498192,0.08886821786940853,11.45251882796443
2017-02-16,1.1690090508489086,0.8879278452341894,0.39814962883464156,0.38160296715721154,1.231677295733381,0.7072899678398767,0.7997837168754053,0.36637639348606804,0.14289600531329394,-0.08516031180359868,0.4728411143738338,-1.7543862444632907
